,0,1,2,3
702,4.0,0.158,4.0,0.84
703,4.0,0.158,4.0,0.84
704,1.0,1.533,122.0,4.81
705,4.0,0.158,4.0,0.84
706,2.0,0.542,65.0,2.92
707,1.0,1.218,129.0,8.83
708,4.0,0.21,58.0,0.77
709,0.0,0.124,1.0,1.0
710,2.0,0.578,120.0,3.71
711,1.0,1.057,103.0,7.05
712,0.0,0.212,21.0,0.93
713,4.0,0.1,1.0,1.0
714,0.0,0.361,90.0,1.74
715,2.0,0.464,42.0,3.2
716,0.0,0.363,56.0,4.33
717,1.0,1.365,178.0,7.8
718,1.0,2.01,223.0,10.76
719,1.0,1.365,178.0,7.8
720,2.0,0.429,119.0,1.42
721,2.0,0.78,108.0,1.96
722,1.0,0.84,27.0,2.29
723,1.0,1.614,150.0,4.69
724,1.0,1.124,106.0,4.82
725,0.0,0.11,2.0,0.45
726,0.0,0.251,14.0,0.0
727,0.0,0.512,25.0,0.0
728,0.0,0.142,4.0,0.68
729,0.0,0.148,3.0,0.73
730,0.0,0.106,5.0,0.0
731,1.0,0.558,49.0,3.98
732,1.0,1.057,103.0,7.05
733,2.0,0.502,83.0,3.87
734,2.0,0.502,83.0,3.87
735,2.0,0.578,120.0,3.71
736,1.0,1.005,144.0,8.0
737,1.0,1.005,144.0,8.0
738,1.0,1.549,92.0,6.11
739,1.0,0.622,62.0,2.34
740,1.0,2.01,223.0,10.76
741,1.0,0.587,127.0,4.48
742,1.0,0.914,63.0,9.8
743,1.0,1.262,119.0,9.11
744,3.0,0.304,58.0,0.68
745,4.0,0.1,1.0,1.0
746,0.0,0.319,77.0,1.88
747,1.0,1.093,115.0,2.14
748,1.0,1.093,115.0,2.14
749,1.0,0.685,79.0,5.23
750,1.0,2.393,287.0,9.59
751,1.0,1.207,70.0,4.91
752,0.0,0.175,10.0,0.0
753,0.0,0.363,56.0,4.33
754,1.0,1.099,60.0,2.3
755,0.0,0.11,2.0,0.45
756,0.0,0.3,17.0,0.0
757,0.0,0.602,88.0,3.13
758,0.0,0.133,4.0,0.41
759,0.0,0.249,7.0,1.12
760,0.0,0.374,7.0,1.83
761,1.0,3.204,113.0,9.48
762,1.0,9.008,537.0,16.48
763,1.0,1.406,62.0,3.24
764,1.0,0.666,36.0,3.24
765,1.0,1.406,62.0,3.24
766,1.0,0.666,36.0,3.24
767,1.0,0.666,36.0,3.24
768,1.0,1.406,62.0,3.24
769,4.0,0.21,58.0,0.77
770,2.0,0.29,54.0,1.79
771,1.0,1.085,143.0,7.08
772,1.0,2.322,224.0,13.94
773,3.0,0.304,58.0,0.68
